小区名称,地址,均价(元/平),在售套数,建成年代,开发商,物业公司,物业费,容积率,绿化率,车位比,总户数,建筑类型,经度,纬度,POI数
锦绣豪庭,团结路,4000.0,6,2012,单位自建,业主自管,0.8,2.5,30.0,120(1:0.1),1114,"[""高层""]",108.066016,34.273115,26
德馨园,兴杨路,4000.0,9,2006,单位自建,业主自管,0.8,1.2,30.0,85(1:0.1),1577,"[""多层""]",108.063871,34.275011,24
金雅都,神农路,4000.0,2,1992,单位自建,业主自管,,2.0,20.0,150(1:0.2),977,"[""多层"", ""小高层""]",108.079585,34.261624,26
康乐华府,康乐路,4000.0,2,2016,单位自建,业主自管,0.0,2.5,30.0,350(1:0.6),592,"[""高层""]",108.06913659761628,34.27286493252334,26
公园馨居,公园路,4000.0,0,2001,单位自建,业主自管,0.9,2.5,30.0,,48,"[""高层""]",108.082015,34.27439,25
神农小区,神农路8号,3933.0,9,2011,单位自建,业主自管,0.8,2.0,30.0,150(1:0.2),873,"[""多层"", ""小高层""]",108.100807,34.258404,19
锦绣花城南区(杨凌),水运东路,3900.0,0,2016,单位自建,业主自管,0.5,2.5,30.0,230(1:0.2),960,"[""高层""]",108.08165,34.249471,22
中央悦城,常青路,3900.0,0,2012,单位自建,业主自管,0.8,2.5,30.0,98(1:0.4),276,"[""高层""]",108.088866,34.279698,25
锦绣花城北区(杨凌),水运东路,3850.0,0,2011,单位自建,业主自管,0.6,2.5,30.0,250(1:0.7),384,"[""高层""]",108.081687,34.251171,22
博睿天居,"神农路,近未知路",3833.0,2,2015,单位自建,业主自管,0.8,2.0,30.0,450(1:1.0),438,"[""多层"", ""高层""]",108.083937,34.261249,24
农大嘉苑,康乐路,3800.0,1,2004,单位自建,业主自管,0.5,1.2,30.0,35(1:0.5),70,"[""多层""]",108.070906,34.271622,26
华秦小区(杨凌),公园路,3800.0,0,2012,单位自建,业主自管,0.5,1.2,30.0,,50,"[""多层""]",108.082111,34.274979,25
