community_id,name,address,year_built,developer,property_mgmt,property_fee,floor_area_ratio,green_ratio,parking_ratio,total_units,building_types,unit_sizes,avg_price,listing_count,features,coordinate_lng,coordinate_lat,data_source,data_updated,region_id
chengdu_wenjiang_762315,珠江青云台,工温江 - 光华大道 - 同兴东路399号 近地铁 近学校 4号线等第一绕城第二绕城高速之间配套齐全,2016,,,,,,,,,,14602.0,41,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_325569,瑞安苑,工温江 - 温江城区 - 泰康东路35号 近地铁 近学校 第一绕城第二绕城高速之间小户型居多配套齐全,2005,,,,,,,,,,6788.0,1,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1397755,瑞泉生活广场,工温江 - 光华大道 - 凤凰街188号 近地铁 近学校 4号线等第一绕城第二绕城高速之间小户型居多配套齐全,2009,,,,,,,,,,7200.0,1,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1203704,生态所小区,工温江 - 温江城区 - 白马庙街44号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,2000,,,,,,,,,,4150.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1260588,田园花篱,工温江 - 永宁镇 - 八一路南段128号 近地铁 近学校 第一绕城第二绕城高速之间,2016,,,,,,,,,,5100.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_206563,电信二团小区,工温江 - 温江城区 - 白马庙街21号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,1999,,,,,,,,,,5000.0,6,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_173880,电力公寓,工温江 - 温江城区 - 万春路325号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,2008,,,,,,,,,,5116.0,3,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1582465,电力建宿舍,,,,,,,,,,,,6235.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1258887,疾控中心家属院,工温江 - 温江城区 - 万春路81号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,2002,,,,,,,,,,4790.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1520717,白马庙街12号院,工温江 - 温江城区 - 白马庙街12号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,2000,,,,,,,,,,6100.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_207377,白马庙街2号院,工温江 - 温江城区 - 白马庙街2号 近地铁 近学校 第一绕城第二绕城高速之间大户型居多配套齐全,2000,,,,,,,,,,5383.0,1,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1290367,百利大厦,工温江 - 温江城区 - 柳城大道西段8号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,2000,,,,,,,,,,5100.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1074467,百家大院,"工温江 - 温江城区 - 麻市街33号,麻市街35号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全",2003,,,,,,,,,,4610.0,3,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1291094,百花小区(温江区),工温江 - 寿安 - 政星街 近地铁 近学校 第二绕城高速以外,2009,,,,,,,,,,1850.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1291095,百花小区3期,工温江 - 寿安 - 圣安街400号 近地铁 近学校 第二绕城高速以外,1995,,,,,,,,,,5250.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1589002,百花苑(温江),,,,,,,,,,,,3950.0,1,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1289918,百谷苑,工温江 - 大学城 - 学府芳邻12号 近地铁 近学校 第一绕城第二绕城高速之间,2005,,,,,,,,,,3950.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1621559,研培中心家属院,,,,,,,,,,,,6400.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1231662,碧桂园十里源墅(别墅),"工温江 - 永宁镇 - 永文路,近宁泰路 近地铁 近学校 第一绕城第二绕城高速之间大户型居多别墅绿化好",2020,,,,,,,,,,22104.0,15,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_140286,碧水馨居,工温江 - 温江城区 - 新南路238号 近地铁 近学校 第一绕城第二绕城高速之间绿化好配套齐全,2006,,,,,,,,,,5620.0,27,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_910760,祥和居(温江),工温江 - 温江城区 - 五一路248号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,2004,,,,,,,,,,5900.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1694878,祥和苑(双柳一巷),,,,,,,,,,,,4950.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1498054,祥和苑(温江),工温江 - 温江城区 - 赞元街30号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,2014,,,,,,,,,,5400.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_310847,祥郡,工温江 - 大学城 - 德通桥路269号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,2009,,,,,,,,,,5250.0,2,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_606632,福兴苑(温江),工温江 - 南熏大道 - 政通西路300号 近地铁 近学校 4号线等第一绕城第二绕城高速之间配套齐全,2005,,,,,,,,,,6371.0,2,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1671426,科创路西段33号小区,,,,,,,,,,,,,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_659733,积家御景,工温江 - 温江城区 - 柳林路266号 近地铁 近学校 4号线等第一绕城第二绕城高速之间小户型居多配套齐全,2016,,,,,,,,,,11827.0,12,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1252332,积家御景(商住楼),工温江 - 南熏大道 - 柳林路266号 近地铁 近学校 4号线等第一绕城第二绕城高速之间配套齐全,2016,,,,,,,,,,6000.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_303318,移动工程局家属院,工温江 - 温江城区 - 五一路45号 近地铁 近学校 第一绕城第二绕城高速之间大户型居多绿化好配套齐全,2000,,,,,,,,,,5945.0,1,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1070301,穗苑,工温江 - 温江城区 - 长安路114号 近地铁 近学校 4号线第一绕城第二绕城高速之间配套齐全,2002,,,,,,,,,,5800.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1029673,粟苑,工温江 - 温江城区 - 长安路110号 近地铁 近学校 4号线第一绕城第二绕城高速之间配套齐全,2002,,,,,,,,,,5230.0,1,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1253232,粮食局家属院(温江),工温江 - 温江城区 - 永宁路228号 近地铁 近学校 第一绕城第二绕城高速之间小户型居多配套齐全,2016,,,,,,,,,,6330.0,2,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1816024,粮食局家属院招待所(温江区),,,,,,,,,,,,5100.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_184776,紫光兴城(温江),工温江 - 光华大道 - 温泉大道155号 近地铁 近学校 第一绕城第二绕城高速之间绿化好配套齐全,2006,,,,,,,,,,8684.0,11,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_857934,紫园,工温江 - 公平镇 - 春江路 近地铁 近学校 第一绕城第二绕城高速之间大户型居多别墅,2010,,,,,,,,,,13736.0,2,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1682375,紫檀山山颂,,,,,,,,,,,,10100.0,2,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_189482,紫檀山江尊,工温江 - 万春镇 - 春江南路1688号 近地铁 近学校 第一绕城第二绕城高速之间大户型居多,2010,,,,,,,,,,12199.0,4,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1474310,紫檀山西区,工温江 - 万春镇 - 春江南路1688号 近地铁 近学校 第一绕城第二绕城高速之间大户型居多,2010,,,,,,,,,,11078.0,3,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_141575,紫荆庭,工温江 - 温江城区 - 黄金路51号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,2003,,,,,,,,,,6281.0,7,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_1466836,"维新中街36,38号自建房",,,,,,,,,,,,2800.0,0,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
chengdu_wenjiang_286434,绿杨涧,工温江 - 温江城区 - 杨柳西路北段128号 近地铁 近学校 第一绕城第二绕城高速之间配套齐全,2009,,,,,,,,,,7969.0,7,,,,anjuke,2026-07-03 17:38:51,chengdu_wenjiang
